DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
26/04/23,00:00,235.6,235.95,234.91,235.21,24430320
27/04/23,00:00,235.59,240.74,235.13,240.38,68311610
28/04/23,00:00,240.9,241.58,237.66,240.38,49583350
02/05/23,00:00,242.2,245.0,237.4,242.62,83957810
03/05/23,00:00,242.85,242.99,234.0,235.77,76827180
04/05/23,00:00,236.89,239.74,236.05,238.89,53079590
05/05/23,00:00,239.24,240.66,237.3,237.7,61366140
08/05/23,00:00,238.69,239.86,237.36,238.27,47865890
10/05/23,00:00,216.5,227.5,215.7,227.06,156874740
11/05/23,00:00,228.87,235.38,223.94,229.32,197302410
12/05/23,00:00,231.0,232.47,226.15,229.29,70528170
15/05/23,00:00,230.51,231.75,228.52,231.7,49090190
16/05/23,00:00,232.4,232.86,229.57,230.62,36613690
17/05/23,00:00,229.86,230.97,228.75,230.55,31770380
18/05/23,00:00,231.7,234.49,230.72,231.7,56228190
19/05/23,00:00,230.99,232.3,229.81,231.27,31639980
22/05/23,00:00,232.2,232.78,230.0,231.0,26487190
23/05/23,00:00,231.25,237.29,230.21,236.43,63010540
24/05/23,00:00,237.49,246.13,236.26,246.06,86011970
25/05/23,00:00,246.1,247.4,242.65,243.76,70882360
26/05/23,00:00,243.45,249.64,242.81,248.1,69202730
29/05/23,00:00,249.78,252.59,248.85,251.18,67999610
30/05/23,00:00,248.84,250.85,243.8,244.65,83533260
31/05/23,00:00,244.0,247.18,240.27,246.17,72912500
01/06/23,00:00,247.0,247.0,240.57,241.66,52046910
02/06/23,00:00,242.0,245.5,240.77,243.95,46542940
05/06/23,00:00,243.51,244.15,235.1,237.12,78742190
06/06/23,00:00,235.92,242.1,232.54,240.91,100640180
07/06/23,00:00,241.2,244.39,238.56,241.25,63130930
08/06/23,00:00,241.3,242.78,239.55,241.77,29945470
09/06/23,00:00,242.8,243.0,240.11,240.4,27569100
13/06/23,00:00,241.51,244.5,240.63,244.33,40551890
14/06/23,00:00,245.7,247.68,242.8,244.6,52205640
15/06/23,00:00,245.11,245.94,243.22,245.18,40063590
16/06/23,00:00,245.5,245.9,243.7,243.87,23441160
19/06/23,00:00,244.47,244.69,241.32,242.28,29844240
20/06/23,00:00,241.99,242.22,238.82,241.74,36621960
21/06/23,00:00,241.9,243.92,240.6,242.2,26830770
22/06/23,00:00,242.15,242.8,240.13,240.66,23136750
23/06/23,00:00,239.98,240.99,234.34,235.67,61886110
26/06/23,00:00,239.6,240.5,233.4,238.4,82016390
27/06/23,00:00,239.02,242.34,236.8,241.21,51466410
28/06/23,00:00,241.8,241.8,238.6,239.67,28310570
29/06/23,00:00,239.94,241.26,239.02,239.99,28192150
30/06/23,00:00,240.0,240.68,238.36,239.61,24051460
03/07/23,00:00,240.0,244.56,239.15,243.33,47333310
04/07/23,00:00,243.4,243.78,240.61,240.7,41561500
05/07/23,00:00,241.49,241.9,240.24,240.95,19972080
06/07/23,00:00,241.47,242.47,240.71,240.96,23260340
07/07/23,00:00,241.49,243.75,240.7,243.67,30275210
10/07/23,00:00,244.21,249.45,244.2,249.4,65076680
11/07/23,00:00,250.01,250.2,246.51,247.99,49590820
12/07/23,00:00,248.4,249.2,246.1,247.52,39316540
13/07/23,00:00,247.97,248.15,245.34,246.19,29561460
14/07/23,00:00,246.32,247.05,244.51,246.45,25661560
17/07/23,00:00,244.77,246.2,243.6,245.39,36193390
18/07/23,00:00,245.8,247.5,245.26,246.77,36008340
19/07/23,00:00,247.25,248.1,245.0,245.85,31451760
20/07/23,00:00,246.27,246.27,242.15,242.7,36027010
21/07/23,00:00,243.18,244.53,241.7,244.13,32271770
24/07/23,00:00,244.0,245.85,243.52,244.87,19769440
25/07/23,00:00,245.48,247.77,244.81,247.2,39733390
26/07/23,00:00,247.2,248.33,245.9,247.05,26119270
27/07/23,00:00,247.5,249.3,247.24,247.95,39793470
28/07/23,00:00,248.0,249.45,246.67,249.25,35776620
